Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1996-01-01,0.59,0.59,0.57,0.58,350000,0.0,0.0
1996-01-02,0.58,0.59,0.58,0.58,412000,0.0,0.0
1996-01-03,0.58,0.59,0.58,0.58,284000,0.0,0.0
1996-01-04,0.58,0.58,0.57,0.58,282000,0.0,0.0
1996-01-05,0.58,0.58,0.58,0.58,189000,0.0,0.0
1996-01-08,0.58,0.58,0.57,0.57,237000,0.0,0.0
1996-01-09,0.57,0.57,0.55,0.55,483000,0.0,0.0
1996-01-10,0.55,0.56,0.55,0.56,226000,0.0,0.0
1996-01-11,0.56,0.56,0.55,0.55,318000,0.0,0.0
1996-01-12,0.55,0.55,0.55,0.55,431000,0.0,0.0
1996-01-15,0.55,0.55,0.54,0.55,181000,0.0,0.0
1996-01-16,0.55,0.55,0.54,0.54,358000,0.0,0.0
1996-01-17,0.54,0.55,0.51,0.52,429000,0.0,0.0
1996-01-18,0.52,0.52,0.51,0.52,330000,0.0,0.0
1996-01-19,0.52,0.51,0.5,0.5,426000,0.0,0.0
1996-01-22,0.5,0.51,0.49,0.5,359000,0.0,0.0
1996-01-23,0.5,0.51,0.49,0.49,399000,0.0,0.0
1996-01-24,0.49,0.49,0.48,0.48,449000,0.0,0.0
1996-01-25,0.48,0.48,0.47,0.48,390000,0.0,0.0
1996-01-29,0.48,0.49,0.47,0.49,311000,0.0,0.0
1996-01-30,0.49,0.5,0.49,0.49,452000,0.0,0.0
1996-01-31,0.49,0.52,0.5,0.51,344000,0.0,0.0
1996-02-01,0.51,0.55,0.51,0.54,424000,0.0,0.0
1996-02-02,0.54,0.59,0.55,0.57,819000,0.0,0.0
1996-02-05,0.57,0.61,0.58,0.59,906000,0.0,0.0
1996-02-06,0.59,0.6,0.58,0.58,888000,0.0,0.0
1996-02-07,0.58,0.57,0.55,0.56,586000,0.0,0.0
1996-02-08,0.56,0.62,0.56,0.6,667000,0.0,0.0
1996-02-09,0.6,0.71,0.66,0.71,1720000,0.0,0.0
1996-02-12,0.71,0.74,0.67,0.69,2851000,0.0,0.0
1996-02-13,0.7,0.7,0.65,0.67,1451000,0.0,0.0
1996-02-14,0.67,0.74,0.7,0.73,2464000,0.0,0.0
1996-02-15,0.73,0.74,0.72,0.72,1191000,0.0,0.0
1996-02-16,0.72,0.72,0.69,0.7,1396000,0.0,0.0
1996-02-19,0.7,0.71,0.68,0.69,1297000,0.0,0.0
1996-02-20,0.69,0.69,0.65,0.66,1361000,0.0,0.0
1996-02-22,0.66,0.68,0.66,0.67,848000,0.0,0.0
1996-02-23,0.67,0.68,0.66,0.67,687000,0.0,0.0
1996-02-26,0.67,0.68,0.66,0.66,647000,0.0,0.0
1996-02-27,0.66,0.67,0.65,0.66,841000,0.0,0.0
1996-02-28,0.66,0.67,0.65,0.65,422000,0.0,0.0
1996-02-29,0.65,0.65,0.59,0.6,1275000,0.0,0.0
1996-03-01,0.6,0.62,0.59,0.61,732000,0.0,0.0
1996-03-04,0.61,0.61,0.6,0.6,647000,0.0,0.0
1996-03-06,0.6,0.62,0.6,0.61,360000,0.0,0.0
1996-03-07,0.61,0.62,0.59,0.6,486000,0.0,0.0
1996-03-08,0.6,0.6,0.59,0.6,387000,0.0,0.0
1996-03-11,0.6,0.6,0.58,0.59,324000,0.0,0.0
